Name,Year,x,n,dying_prob,LEx,dying_prob_annual
WORLD,2025,0,1,0.02605707,73.7893,0.02605707
WORLD,2025,1,4,0.00982365,74.7591,0.0024559125
WORLD,2025,5,5,0.00520652,71.4841,0.001041304
WORLD,2025,10,5,0.00329092,66.8468,6.58184e-4
WORLD,2025,15,5,0.00496463,62.0592,9.92926e-4
WORLD,2025,20,5,0.00680003,57.3553,0.001360006
WORLD,2025,25,5,0.00754263,52.7305,0.001508526
WORLD,2025,30,5,0.00849142,48.112,0.001698284
WORLD,2025,35,5,0.01024924,43.5022,0.002049848
WORLD,2025,40,5,0.01373712,38.9257,0.002747424
WORLD,2025,45,5,0.01890215,34.4316,0.00378043
WORLD,2025,50,5,0.02753706,30.0442,0.005507412
WORLD,2025,55,5,0.03973482,25.8202,0.007946963999999999
WORLD,2025,60,5,0.06057586,21.7793,0.012115172
WORLD,2025,65,5,0.09051897,18.0117,0.018103794
WORLD,2025,70,5,0.13534186,14.5443,0.027068372
WORLD,2025,75,5,0.20154034,11.4118,0.040308068
WORLD,2025,80,5,0.30885858,8.6369,0.061771716
WORLD,2025,85,5,0.45150321,6.3566,0.090300642
WORLD,2025,90,5,0.61936355,4.5733,0.12387271
WORLD,2025,95,5,0.78042817,3.2531,0.156085634
WORLD,2025,100,-1,1,2.4196,-1
Sub-Saharan Africa,2025,0,1,0.04579314,62.0559,0.04579314
Sub-Saharan Africa,2025,1,4,0.02354455,64.0247,0.0058861375
Sub-Saharan Africa,2025,5,5,0.0146019,61.5262,0.0029203799999999998
Sub-Saharan Africa,2025,10,5,0.00874239,57.4053,0.001748478
Sub-Saharan Africa,2025,15,5,0.01195116,52.8898,0.002390232
Sub-Saharan Africa,2025,20,5,0.01661323,48.497,0.003322646
Sub-Saharan Africa,2025,25,5,0.01920053,44.2729,0.0038401060000000002
Sub-Saharan Africa,2025,30,5,0.02245978,40.0897,0.004491956
Sub-Saharan Africa,2025,35,5,0.02712436,35.9521,0.005424872
Sub-Saharan Africa,2025,40,5,0.03411721,31.8826,0.006823442000000001
Sub-Saharan Africa,2025,45,5,0.04248834,27.9179,0.008497668
Sub-Saharan Africa,2025,50,5,0.05722536,24.0419,0.011445072
Sub-Saharan Africa,2025,55,5,0.07642702,20.3435,0.015285403999999999
Sub-Saharan Africa,2025,60,5,0.11027046,16.8119,0.022054092
Sub-Saharan Africa,2025,65,5,0.16130513,13.5711,0.032261026
Sub-Saharan Africa,2025,70,5,0.23899334,10.6819,0.047798668
Sub-Saharan Africa,2025,75,5,0.34380345,8.2301,0.06876069
Sub-Saharan Africa,2025,80,5,0.47849017,6.2286,0.095698034
Sub-Saharan Africa,2025,85,5,0.61577725,4.7321,0.12315545000000001
Sub-Saharan Africa,2025,90,5,0.73140069,3.6859,0.146280138
Sub-Saharan Africa,2025,95,5,0.80913458,3.0133,0.16182691600000002
Sub-Saharan Africa,2025,100,-1,1,2.5434,-1
Northern Africa and Western Asia,2025,0,1,0.01809357,74.4336,0.01809357
Northern Africa and Western Asia,2025,1,4,0.0052435,74.8028,0.001310875
Northern Africa and Western Asia,2025,5,5,0.00234241,71.1885,4.68482e-4
Northern Africa and Western Asia,2025,10,5,0.00178519,66.3505,3.57038e-4
Northern Africa and Western Asia,2025,15,5,0.00328258,61.4645,6.56516e-4
Northern Africa and Western Asia,2025,20,5,0.00497852,56.6578,9.95704e-4
Northern Africa and Western Asia,2025,25,5,0.00528924,51.9285,0.001057848
Northern Africa and Western Asia,2025,30,5,0.00577794,47.1913,0.001155588
Northern Africa and Western Asia,2025,35,5,0.0073199,42.4506,0.00146398
Northern Africa and Western Asia,2025,40,5,0.01014995,37.7444,0.0020299899999999997
Northern Africa and Western Asia,2025,45,5,0.01522656,33.1044,0.003045312
Northern Africa and Western Asia,2025,50,5,0.02528479,28.5747,0.005056958
Northern Africa and Western Asia,2025,55,5,0.03932129,24.2464,0.007864258
Northern Africa and Western Asia,2025,60,5,0.06536673,20.1294,0.013073346
Northern Africa and Western Asia,2025,65,5,0.10202571,16.3501,0.020405142
