codes,country,country_altern,country_altern_2,cluster_name,in_cluster
AFG,Afghanistan,Afghanistan,Afghanistan,Asia-Europe,TRUE
AGO,Angola,Angola,Angola,Africa,FALSE
ALB,Albania,Albania,Albania,Europe,FALSE
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,Asia-Europe,FALSE
ARG,Argentina,Argentina,Argentina,Southern America,TRUE
ARM,Armenia,Armenia,Armenia,Asia-Europe,TRUE
AUS,Australia,Australia,Australia,Oceania-Melanesia-Polynesia,TRUE
AUT,Austria,Austria,Austria,Europe,TRUE
AZE,Azerbaijan,Azerbaijan,Azerbaijan,Asia-Europe,TRUE
BDI,Burundi,Burundi,Burundi,Africa,FALSE
BEL,Belgium,Belgium,Belgium,Europe,FALSE
BEN,Benin,Benin,Benin,Africa,FALSE
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Africa,TRUE
BGD,Bangladesh,Bangladesh,Bangladesh,Eastern and Southern Asia,TRUE
BGR,Bulgaria,Bulgaria,Bulgaria,Europe,TRUE
BHR,Bahrain,Bahrain,Bahrain,Asia-Europe,TRUE
BHS,Bahamas,Bahamas,Bahamas,Northern America,FALSE
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,Bosnia & Herzegovina,Europe,FALSE
BLR,Belarus,Belarus,Belarus,Europe,TRUE
BLZ,Belize,Belize,Belize,Northern America,TRUE
BOL,Bolivia,Bolivia (Plurinational State of),Bolivia,Southern America,TRUE
BRA,Brazil,Brazil,Brazil,Southern America,TRUE
BRB,Barbados,Barbados,Barbados,Southern America,FALSE
BRN,Brunei,Brunei Darussalam,Brunei,Eastern and Southern Asia,FALSE
BTN,Bhutan,Bhutan,Bhutan,Eastern and Southern Asia,TRUE
BWA,Botswana,Botswana,Botswana,Africa,FALSE
CAF,Central African Republic,Central African Republic,Central African Republic,Africa,TRUE
CAN,Canada,Canada,Canada,Northern America,TRUE
CHE,Switzerland,Switzerland,Switzerland,Europe,FALSE
CHL,Chile,Chile,Chile,Southern America,TRUE
CHN,China,China,China,Eastern and Southern Asia,TRUE
CIV,Côte d’Ivoire,Côte d'Ivoire,Cote d'Ivoire,Africa,TRUE
CMR,Cameroon,Cameroon,Cameroon,Africa,TRUE
COD,Congo - Kinshasa,Democratic Republic of the Congo,Dem. Republic of the Congo,Africa,TRUE
COG,Congo - Brazzaville,Congo,Congo - Brazzaville,Africa,FALSE
COL,Colombia,Colombia,Colombia,Southern America,TRUE
