country,CBR,M1,M2,M3,M4
Burundi,0.027163,0.010464956000000001,0.0026369033333333335,0.00828231111111111,0.07376589655070667
Comoros,0.024408,0.010722718,0.00115709,0.007546131111111112,0.07823256978345224
Djibouti,0.017134,0.010311714000000001,0.0023057053333333335,0.007723611111111107,0.07254367129011664
Eritrea,0.022358,0.006393932,0.0014622206666666667,0.006070486444444443,0.06754794215194235
Ethiopia,0.02662999999999999,0.00847224,0.0016325613333333334,0.006411380444444441,0.06881223206237141
Kenya,0.024178,0.007529002,0.0010038246666666667,0.010928351333333333,0.0688093911056981
Madagascar,0.025591,0.008783758,0.001613556,0.006445692666666665,0.06914194842010649
Malawi,0.026475,0.00712932,9.130820000000001e-4,0.00975122222222222,0.06948690866640725
Mauritius,0.00885399999999999,0.00248179,1.6306333333333334e-4,0.004344815777777776,0.05852059925093633
Mayotte,0.028274,8.01396e-4,2.4026000000000003e-4,0.003442852222222222,0.05443924852061342
Mozambique,0.02993,0.012526906,0.0012654519999999968,0.009093169777777776,0.08107538389194273
Réunion,0.012456,0.0012194940000000002,5.5412666666666665e-5,0.0020238117777777766,0.04677684172120067
Rwanda,0.024952,0.006948583999999999,8.170893333333333e-4,0.007397961777777777,0.07239294892677453
Seychelles,0.012471,0.002139572,1.8306266666666667e-4,0.0044916962222222205,0.06013120629212943
Somalia,0.03734,0.022414178,0.0030476586666666632,0.00907620688888889,0.07538806003905102
South Sudan,0.02258899999999999,0.018278804,0.0039683746666666665,0.010480772888888889,0.07932982166656088
Uganda,0.029997,0.007748652,9.47612e-4,0.009318056666666664,0.08467615604122036
United Republic of Tanzania,0.030477,0.008175126,9.064946666666666e-4,0.006844973555555556,0.06822445846836091
Zambia,0.02829599999999999,0.011678272,0.0013278146666666666,0.00874027311111111,0.07582420915349854
Zimbabwe,0.025863,0.010033446,0.0013381959999999933,0.011422396888888887,0.07221937356915366
Angola,0.031865,0.013481972,0.0014501086666666666,0.008390923333333331,0.07479935074163556
Cameroon,0.029747,0.01373366,0.00154919733333333,0.009180576888888887,0.07459457846603709
Central African Republic,0.03650399999999999,0.019667226,0.0023054133333333332,0.013176651999999999,0.07813965118459712
Chad,0.03558,0.02168309,0.004953116,0.011763774444444444,0.08227811648935733
Congo,0.02533,0.009800831999999999,0.001163332,0.00960978933333333,0.07873023871008378
Democratic Republic of the Congo,0.035484,0.015856952,0.0027875746666666664,0.008435542888888887,0.07409987180722177
Equatorial Guinea,0.021933,0.014963510000000003,0.0014548599999999966,0.008714777111111112,0.07725885579634566
Gabon,0.021152,0.007427644,8.752406666666668e-4,0.007715423111111109,0.0709063964660252
Sao Tome and Principe,0.024447,0.002918748,8.063953333333334e-4,0.00763992911111111,0.07153075822603719
Algeria,0.015943,0.0035477880000000005,3.443566666666667e-4,0.0025630144444444432,0.056292043119705024
Egypt,0.01909,0.003093378,2.066853333333333e-4,0.005377314888888889,0.07211469120489226
Libya,0.013627,0.0021012139999999997,5.064126666666667e-4,0.005078037333333333,0.0629374150344897
Morocco,0.013878,0.002947862,3.195373333333333e-4,0.0034951048888888876,0.06224905848299045
Sudan,0.026776,0.011035597999999999,0.0016905286666666667,0.0064583375555555544,0.06895172689600011
Tunisia,0.012653,0.002601434,3.52768e-4,0.0030400606666666644,0.056944041090820054
Western Sahara,0.012532,0.005015286,5.152093333333334e-4,0.0051224002222222224,0.06999223086237427
Botswana,0.019259,0.008467185999999998,9.439e-4,0.008368373777777776,0.07089332681114727
Eswatini,0.019625,0.008945368,0.0011233413333333333,0.012487090444444442,0.07174012855831038
Lesotho,0.021605,0.016825658,0.0018950219999999966,0.016184992,0.07882021896256829
Namibia,0.022379,0.00739136,9.921346666666667e-4,0.011035878666666665,0.06825845380950431
South Africa,0.016042,0.005676744,7.31338e-4,0.009576816222222222,0.06346627402198472
Benin,0.030887,0.016570824,0.0026624706666666634,0.008171101777777776,0.07363824475879793
Burkina Faso,0.029629,0.0163586,0.0022066273333333332,0.008337793333333331,0.08102611471677322
Cabo Verde,0.01388,0.002573648,2.7513933333333336e-4,0.003636650222222221,0.054313584913858654
Côte d'Ivoire,0.02949,0.01489151,0.00158781066666666,0.011175885555555553,0.07573864109730143
Gambia,0.026926,0.00913429,0.002252370666666667,0.007580923555555552,0.07242860350409584
Ghana,0.02321999999999999,0.008441668,0.002115288,0.007324808222222221,0.07143112254009072
Guinea,0.028432,0.018400253999999998,0.00270995,0.008200267555555552,0.07378276877218094
Guinea-Bissau,0.025723,0.014589826,0.00163027533333333,0.009171482444444443,0.0768031458568543
Liberia,0.026362,0.014376426000000001,0.0013951426666666666,0.009075233777777776,0.07866706524646391
Mali,0.035022,0.017339916,0.0021685586666666634,0.008283194222222222,0.08123674825544083
Mauritania,0.026335,0.011184063999999999,0.0010017553333333334,0.006188986444444443,0.07585641897017326
Niger,0.039956,0.014074882,0.0014645573333333334,0.006920035111111111,0.07748394145313384
Nigeria,0.030973,0.021683414,0.00496799066666666,0.011693057555555554,0.08246810546021327
Saint Helena,0.00592999999999999,0.002361268,2.4248799999999999e-4,0.0027249839999999976,0.05845833674340297
Senegal,0.027827,0.005707286000000001,8.160979999999999e-4,0.005217928666666662,0.07113944041716168
Sierra Leone,0.02495799999999999,0.019885408,0.0017372579999999967,0.00783777,0.07979572294924991
Togo,0.027119,0.011980611999999998,0.00232001333333333,0.008582034,0.08257638315441784
Kazakhstan,0.017501,0.0016509320000000001,3.2061333333333335e-4,0.005963799111111111,0.06849924993321324
Kyrgyzstan,0.019599,0.002822288,2.4910933333333334e-4,0.005719651111111109,0.0685664134280464
Tajikistan,0.021276,0.005013702,2.8883666666666664e-4,0.005191959333333332,0.07039477389198626
Turkmenistan,0.016677,0.007216562,3.543733333333333e-4,0.0059958124444444445,0.07153229325378943
Uzbekistan,0.017814,0.0026137760000000004,2.9651866666666665e-4,0.005554791777777775,0.07227104532839963
China,0.006243,0.00129549,2.8474733333333334e-4,0.0026932546666666663,0.05431181499223341
"China, Hong Kong SAR",0.004258,3.4495e-4,4.8842e-5,0.0013439513333333322,0.04306001705176675
"China, Macao SAR",0.008206,5.705220000000001e-4,7.866e-5,0.0011949573333333333,0.04377402099402047
"China, Taiwan Province of China",0.006565,7.154479999999999e-4,1.55638e-4,0.002516488222222221,0.04792806955321454
Dem. People's Republic of Korea,0.010404,0.00322278,8.42156e-4,0.004423446888888888,0.060206508323549776
Japan,0.005835,4.37216e-4,1.0092200000000001e-4,0.0015885853333333334,0.04374127908248293
Mongolia,0.016468,0.001762816,2.0806133333333335e-4,0.0058746833333333335,0.06334004737835544
Republic of Korea,0.00462899999999999,5.2185e-4,7.529733333333333e-5,0.001459636888888889,0.04615121908445212
Afghanistan,0.027975,0.010104024,0.001186166,0.007739770444444443,0.07520267119888098
Bangladesh,0.01491799999999999,0.0043876539999999995,4.66954e-4,0.0039040075555555544,0.061327494955813536
Bhutan,0.010267,0.004298155999999999,4.4789200000000003e-4,0.004479624222222222,0.06716954264258414
India,0.014047,0.00565085,5.511333333333334e-4,0.005221649777777777,0.06179362166237201
Iran (Islamic Republic of),0.010771,0.002095176,4.6725600000000004e-4,0.002864772,0.057761399212134516
Maldives,0.010302,0.001248932,1.13488e-4,0.0016019728888888888,0.0519958611294541
Nepal,0.01654599999999999,0.004121478,6.094960000000001e-4,0.005401839999999999,0.07088679379031687
Pakistan,0.022788,0.012096078,7.617233333333333e-4,0.005885065333333333,0.07245169283380305
Sri Lanka,0.011348,0.001193102,2.1686133333333334e-4,0.0035511746666666657,0.05806054553688586
Brunei Darussalam,0.01099,0.0021838359999999998,3.7078e-4,0.004244121999999998,0.06367236746596712
Cambodia,0.015259,0.004341314000000001,9.949206666666668e-4,0.005113087333333333,0.0644732854941555
Indonesia,0.013624,0.004051788,5.996193333333333e-4,0.005621741333333333,0.06931399934844841
Lao People's Democratic Republic,0.0175,0.006791500000000001,6.890066666666667e-4,0.00574622622222222,0.07179266278986288
Malaysia,0.01259699999999999,0.0012703800000000002,1.87546e-4,0.0038427471111111087,0.05926031277593083
Myanmar,0.013823,0.007810196,9.962353333333334e-4,0.006687419111111109,0.07380237200823635
Philippines,0.018168,0.004891522000000001,4.96638e-4,0.004612814888888888,0.0676178240584218
Singapore,0.005981,4.11002e-4,4.6785333333333334e-5,0.0016009244444444445,0.045621270461139805
Thailand,0.007111,0.001533492,3.1571266666666664e-4,0.003625401777777778,0.04616187121761168
Timor-Leste,0.019343,0.006771355999999999,7.037713333333333e-4,0.005753380666666667,0.07181019130234963
Viet Nam,0.01251399999999999,0.003573782,8.046686666666667e-4,0.00402455111111111,0.05702132027164958
Armenia,0.009522,0.00194403,1.4069266666666666e-4,0.003732992888888889,0.05964594169012741
Azerbaijan,0.009504,0.0035135239999999996,3.9779533333333337e-4,0.004278386222222221,0.06469686284912045
Bahrain,0.009446,0.0011716580000000001,1.2066799999999999e-4,0.0018619844444444434,0.052896898654831874
